"日付け","終値","始値","高値","安値","前日比率"
"2015年08月17日","31908.8379","32024.0000","32615.8047","31770.2168","-0.36"
"2015年08月16日","32024.0000","33125.3398","33169.2617","31702.5801","-1.87"
"2015年08月15日","32635.7813","32898.4766","33425.4727","32444.1973","-0.50"
"2015年08月14日","32800.5430","32925.8555","33445.2969","32431.9434","-0.01"
"2015年08月13日","32803.4063","32962.8516","33583.6758","32439.8340","-0.48"
"2015年08月12日","32962.8516","33790.0000","33917.8945","32423.4316","-0.51"
"2015年08月11日","33131.6875","32360.8242","33792.4961","31864.0977","2.39"
"2015年08月10日","32359.6367","32646.7559","33214.7656","32174.2012","-0.19"
"2015年08月09日","32421.8965","32471.9473","34716.6328","32060.1582","-5.96"
"2015年08月08日","34476.3242","34798.3398","35056.1992","32373.1992","0.33"
"2015年08月07日","34363.3867","34542.5703","35141.6133","34223.0703","-0.52"
"2015年08月06日","34542.5703","35095.9375","35607.3984","34461.8594","-1.58"
"2015年08月05日","35095.4844","35174.9297","35614.1289","34759.7422","-0.23"
"2015年08月04日","35174.9297","34524.8633","35543.6055","34331.2070","1.28"
"2015年08月03日","34730.4609","34622.1172","35352.9609","33991.5078","0.16"
"2015年08月02日","34674.5273","34674.5781","35360.9453","34024.8984","-0.02"
"2015年08月01日","34680.6563","35421.1602","35689.9922","34182.9531","-2.09"
"2015年07月31日","35421.1602","35560.3438","35929.2266","34883.9727","-0.39"
"2015年07月30日","35559.9180","35678.8086","36572.6133","35093.0820","-0.33"
"2015年07月29日","35678.8438","36741.2188","36874.9492","35516.8164","-2.16"
"2015年07月28日","36467.3750","36181.9844","36945.9258","35188.6797","0.79"
"2015年07月27日","36181.9844","35736.3477","36908.8672","35172.9453","-0.23"
"2015年07月26日","36263.6602","35549.7773","36390.8008","35312.6445","1.26"
"2015年07月25日","35811.7305","35712.4492","36221.0352","34143.6953","0.28"
"2015年07月24日","35712.4492","34227.6680","35888.6094","33934.6250","3.86"
"2015年07月23日","34385.6602","34387.3203","34687.2773","33895.5938","-0.00"
"2015年07月22日","34387.3203","34219.1289","34870.7734","33829.4805","0.44"
"2015年07月21日","34237.2813","34353.6641","35181.0781","33908.0625","-0.11"
"2015年07月20日","34274.2617","33965.1406","34707.6484","33689.6992","0.40"
"2015年07月19日","34138.9648","34225.3398","34954.8867","33666.3164","-0.25"
"2015年07月18日","34225.3398","34506.6445","34965.7383","33698.5781","-0.82"
"2015年07月17日","34506.6172","34449.6289","36141.5039","33486.3945","-2.14"
"2015年07月16日","35262.2422","35717.5586","36950.6992","33476.9648","-0.51"
"2015年07月15日","35444.3203","35537.1016","36859.3984","35297.5586","-0.26"
"2015年07月14日","35537.1016","36064.2617","38254.0938","34819.5898","-1.46"
"2015年07月13日","36064.2617","38157.3398","38635.6055","34261.4297","-5.49"
"2015年07月12日","38157.3398","35873.9844","38600.1172","34715.3047","6.07"
"2015年07月11日","35974.7617","35039.9180","36611.8711","33142.0547","2.67"
"2015年07月10日","35039.9180","33158.6875","36171.5625","32517.7949","5.85"
"2015年07月09日","33103.6133","32843.5742","33487.6094","32306.1875","0.91"
"2015年07月08日","32803.6719","32920.0977","33387.9688","32238.0078","0.53"
"2015年07月07日","32630.6680","33352.5039","34137.6680","32413.3066","10.80"
"2015年05月09日","29450.8262","29450.8262","29450.8262","29450.8262","3.90"
"2015年05月08日","28346.4355","28346.4355","28346.4355","28346.4355","-16.18"
"2015年03月09日","33818.1875","33220.4414","34285.0742","32778.0273","1.80"
"2015年03月08日","33220.4414","33176.2813","33635.5742","32529.6582","0.13"
"2015年03月07日","33176.2813","32897.8906","33594.4805","32049.6406","0.61"
"2015年03月06日","32974.5117","33673.0430","34196.0469","31643.0957","20.95"
"2015年01月31日","27262.7617","26894.1484","28520.2832","26894.1484","1.37"
"2015年01月30日","26894.1484","27622.3145","28738.6914","26251.4238","-2.64"
"2015年01月29日","27622.3145","27878.0586","31567.5840","26284.4316","-0.92"
"2015年01月28日","27878.0586","31071.4063","31971.2695","27334.2266","-12.11"
"2015年01月27日","31718.8730","33629.9297","37076.2344","29757.3262","-3.43"
"2015年01月26日","32846.4609","29599.7852","37128.0195","28616.1699","13.70"
"2015年01月24日","28887.7793","27206.9434","29328.6816","26584.8516","6.18"
"2015年01月23日","27206.9434","27475.7793","28149.0996","26341.3691","-0.98"
"2015年01月22日","27475.7793","26867.2402","28319.3164","24870.8320","2.26"
"2015年01月21日","26867.2402","24878.6738","27398.5117","24091.7754","7.99"
"2015年01月20日","24878.6738","24972.9668","25697.5020","23948.6465","-0.38"
"2015年01月19日","24972.9668","24618.0898","25814.1289","22918.0488","1.44"
"2015年01月18日","24618.0898","24713.6367","25892.4355","22621.1758","4.99"
"2015年01月17日","23447.8828","24872.1797","30981.0781","22585.5449","-5.73"
"2015年01月16日","24872.1797","25326.8789","31230.2422","22828.3887","-1.80"
"2015年01月15日","25326.8789","26185.6797","29520.8008","19962.2266","18.89"
"2015年01月14日","21303.4531","26601.3125","31925.8223","19902.1875","-19.92"
"2015年01月13日","26601.3125","32408.9434","32646.8164","26553.2949","-17.22"
"2015年01月12日","32135.9102","31738.1680","33615.5508","31487.3906","1.25"
"2015年01月11日","31738.1680","33114.1484","34122.4258","31540.5352","-3.80"
"2015年01月10日","32992.9648","34243.5508","35005.4727","32874.6016","-3.38"
"2015年01月09日","34146.5703","33935.6055","35253.4844","33286.9258","-0.22"
"2015年01月08日","34220.3008","34577.9141","35539.6055","33147.0430","-1.03"
"2015年01月07日","34577.9141","34365.8438","35398.7383","32258.0840","4.23"
"2015年01月06日","33174.0820","32723.9902","34365.8438","31868.5723","1.38"
"2015年01月05日","32723.9902","34080.3672","35147.4688","31014.4844","-3.80"
"2015年01月04日","34015.4531","36996.8516","38018.1797","31060.7246","-9.63"
"2015年01月03日","37642.0313","38022.7578","38301.2734","35018.4727","-1.00"
"2015年01月02日","38022.6172","38181.7813","38614.8594","37670.8047","0.27"
"2015年01月01日","37920.6953","38491.9922","38569.4141","37177.2227","-1.48"
"2014年12月31日","38491.9922","37585.9141","38491.9922","37146.2031","2.09"
"2014年12月30日","37702.4023","38375.4023","38684.0977","37160.5469","-0.92"
"2014年12月29日","38051.1445","37948.0195","38828.4648","37486.7813","0.27"
"2014年12月28日","37947.9688","38065.5625","39462.2813","37450.6211","-0.31"
"2014年12月27日","38065.5625","39444.9180","39692.5508","37555.7461","-3.50"
"2014年12月26日","39444.9180","38670.0391","39701.7422","37776.1172","2.00"
"2014年12月25日","38670.0391","39070.1641","40550.0313","38014.0117","-1.02"
"2014年12月24日","39070.1641","40100.7383","41314.9531","38246.8438","-2.57"
"2014年12月23日","40100.7383","40071.2109","41119.2500","35965.0938","2.57"
"2014年12月22日","39097.6563","38327.4141","40242.0508","35854.7500","2.01"
"2014年12月21日","38327.4141","39061.7773","39543.0117","37170.9023","-1.88"
"2014年12月20日","39061.7773","37750.3750","39523.5195","33418.9883","3.47"
"2014年12月19日","37750.3750","36877.6406","38612.9648","33301.0781","2.37"
"2014年12月18日","36877.6406","39094.4883","39778.8867","33096.8164","-4.05"
"2014年12月17日","38435.8086","38554.1523","40890.7539","37280.9805","-0.31"
"2014年12月16日","38554.1523","41376.7266","41894.9375","38554.1523","-7.22"
"2014年12月15日","41555.0391","42061.3672","42268.0352","41058.3945","-1.20"
"2014年12月14日","42061.3672","42071.1445","42209.3867","41222.2617","-0.02"
"2014年12月13日","42071.1445","42144.1211","42144.1211","41049.2148","-0.17"
"2014年12月12日","42144.1211","42458.2422","43735.4727","40628.5938","-1.52"
"2014年12月11日","42794.6914","41656.5508","43849.0938","40208.1367","2.73"
"2014年12月10日","41656.5508","42451.0391","44297.2305","40989.7070","-1.87"
"2014年12月09日","42451.0391","44067.1445","46744.9375","41859.6758","-3.67"
"2014年12月08日","44067.1445","45306.8359","46998.2031","44059.6211","-2.74"
"2014年12月07日","45306.8359","45804.5781","46078.5977","45044.3281","-1.09"
"2014年12月06日","45804.5781","45798.5703","45998.8633","44730.3008","0.01"
"2014年12月05日","45798.5703","44501.6680","46156.6250","43989.7813","2.91"
"2014年12月04日","44501.6680","45325.5859","46370.9375","44197.0508","-1.82"
"2014年12月03日","45325.5859","45872.4961","46560.4922","44492.6641","-1.19"
"2014年12月02日","45872.4961","45103.5000","46049.8359","44081.1484","1.70"
"2014年12月01日","45103.5000","45354.8789","45969.2617","44447.8867","-0.55"
"2014年11月30日","45354.8789","44242.6875","45927.2031","44242.6875","2.51"
"2014年11月29日","44242.6875","45286.7109","46012.1797","42087.3398","-2.31"
"2014年11月28日","45286.7109","44116.9961","45286.7109","40101.0352","2.65"
"2014年11月27日","44116.9961","43442.4922","44887.7969","42938.1523","1.55"
"2014年11月26日","43442.4922","45070.8516","46014.2773","43432.7188","-3.61"
"2014年11月25日","45070.8516","44338.1367","47490.1094","42997.6875","1.65"
"2014年11月24日","44338.1367","44194.4648","46016.6406","42700.3477","0.33"
"2014年11月23日","44194.4648","41127.6484","44204.5352","41127.6484","7.46"
"2014年11月22日","41127.6484","42167.9336","43224.1250","40880.2461","-2.47"
"2014年11月21日","42167.9336","42708.7500","46038.4805","40919.6602","-1.27"
"2014年11月20日","42708.7500","44590.0430","46231.5313","41704.1914","-4.22"
"2014年11月19日","44590.0430","44375.6367","46240.6953","43207.3047","0.48"
"2014年11月18日","44375.6367","45348.1484","48669.2578","43291.5430","-2.14"
"2014年11月17日","45348.1484","45714.1914","48466.1016","43810.5898","-0.80"
"2014年11月16日","45714.1914","44752.8242","46259.4063","43378.0000","2.15"
"2014年11月15日","44752.8242","46882.7617","47370.1445","43249.8867","-4.54"
"2014年11月14日","46882.7617","47500.8750","54605.5664","43402.7891","-1.30"
"2014年11月13日","47500.8750","47732.3516","54454.0430","42250.7070","-0.48"
"2014年11月12日","47732.3516","42478.3516","48376.7734","41431.0977","12.37"
"2014年11月11日","42478.3516","41893.5703","42999.1289","40468.0352","1.40"
"2014年11月10日","41893.5703","40614.3867","42302.9805","38328.2500","3.15"
"2014年11月09日","40614.3867","39011.8203","40614.3867","37917.9297","4.11"
"2014年11月08日","39011.8203","38699.6445","40183.1133","37850.3320","0.81"
"2014年11月07日","38699.6445","39251.4102","40331.2227","38231.9258","-1.41"
"2014年11月06日","39251.4102","38589.7695","40365.2383","37365.5430","1.71"
"2014年11月05日","38589.7695","37431.5430","39447.3750","36209.5391","3.09"
"2014年11月04日","37431.5430","37049.5117","38358.4922","35879.6289","1.03"
"2014年11月03日","37049.5117","36830.6211","38348.1250","34726.2266","0.59"
"2014年11月02日","36830.6211","35907.2969","37536.4922","35047.0039","2.57"
"2014年11月01日","35907.2969","37987.2891","39105.1797","35855.7539","-5.48"
"2014年10月31日","37987.2891","37297.6367","38848.9883","36598.9492","1.85"
"2014年10月30日","37297.6367","36500.7695","39232.0273","35997.4922","2.18"
"2014年10月29日","36500.7695","38829.0352","38947.7266","36417.5430","-6.00"
"2014年10月28日","38829.0352","37757.1289","38978.7617","37179.8359","2.84"
"2014年10月27日","37757.1289","39402.0352","40288.0508","37144.8164","-4.17"
"2014年10月26日","39402.0352","37741.4727","40341.7305","37421.3359","4.40"
"2014年10月25日","37741.4727","38986.0000","39147.2383","37200.3906","-3.19"
"2014年10月24日","38986.0000","38698.7773","41408.7344","37588.9258","0.74"
"2014年10月23日","38698.7773","41470.0391","42156.3906","38229.9844","-6.68"
"2014年10月22日","41470.0391","41477.6602","41811.5664","39062.4766","-0.02"
"2014年10月21日","41477.6602","41163.4688","42075.7461","39404.1211","0.76"
"2014年10月20日","41163.4688","41421.0195","41537.7969","39751.7461","-0.62"
"2014年10月19日","41421.0195","41045.7617","41421.0195","37665.8672","0.91"
"2014年10月18日","41045.7617","40465.6914","41054.8086","37028.0469","1.43"
"2014年10月17日","40465.6914","39794.7148","42321.8086","32871.3086","1.69"
"2014年10月16日","39794.7148","41400.4727","42725.3086","39735.8242","-3.88"
"2014年10月15日","41400.4727","43430.9063","43760.9063","41029.7227","-4.68"
"2014年10月14日","43430.9063","40774.3398","43817.2695","37748.1484","6.52"
"2014年10月13日","40774.3398","39192.1016","40977.0234","36847.1250","4.04"
"2014年10月12日","39192.1016","38769.4453","39527.8828","36624.3984","1.09"
"2014年10月11日","38769.4453","38696.9414","40276.0703","33333.7969","0.19"
"2014年10月10日","38696.9414","39152.3125","41521.3359","33169.2578","-1.16"
"2014年10月09日","39152.3125","39084.3086","42181.3984","35681.9219","0.17"
"2014年10月08日","39084.3086","36600.8672","39084.3086","32753.8711","6.79"
"2014年10月07日","36600.8672","35962.6445","40360.3086","32761.9492","0.20"
"2014年10月06日","36528.6523","36285.7383","39177.0820","31951.6211","0.67"
"2014年10月05日","36285.7383","36180.2891","40115.9141","32070.1758","0.29"
"2014年10月04日","36180.2891","39747.8008","41394.2539","35840.4141","-8.98"
"2014年10月03日","39747.8008","40952.1484","41899.3047","39507.1445","-2.94"
"2014年10月02日","40952.1484","41369.6758","42264.0039","39708.5625","-1.01"
"2014年10月01日","41369.6758","43712.1211","43834.7734","40502.8633","-5.36"
"2014年09月30日","43712.1211","40995.7305","43737.0195","39850.9219","6.63"
"2014年09月29日","40995.7305","41789.8438","44276.8203","37558.4883","-1.90"
"2014年09月28日","41789.8438","44509.4219","44528.8594","41554.5625","-6.11"
"2014年09月27日","44509.4219","44241.2891","44819.1133","43092.5703","0.61"
"2014年09月26日","44241.2891","44355.1992","45514.5938","43361.5156","-0.26"
"2014年09月25日","44355.1992","46558.7344","48541.6406","42936.8086","-4.73"
"2014年09月24日","46558.7344","47681.8398","50296.2930","42347.1484","-2.36"
"2014年09月23日","47681.8398","42977.8945","50223.4102","42060.2070","10.95"
"2014年09月22日","42977.8945","44370.4063","44638.6914","41356.5508","-3.14"
"2014年09月21日","44370.4063","43939.1211","45870.7148","41234.2109","0.98"
"2014年09月20日","43939.1211","43369.5547","46159.6680","42252.7305","1.31"
"2014年09月19日","43369.5547","45778.5664","52882.4297","41302.0313","-5.26"
"2014年09月18日","45778.5664","48558.7383","52882.4297","45020.2500","-5.73"
"2014年09月17日","48558.7383","49298.9297","50652.8594","47561.0117","-1.50"
